,name,info,price,rating,stock
0,Texels Skuumkoppe,German Wheat Beer | 6.0% | 30 cl,£ 37.99,(3.72),In stock
1,Tiger Lager,Lager | 5.0% | 33 cl,£ 36.99,(2.94),In stock
2,St. Feuillien Blond,Blond Beer | 7.0% | 33 cl,£ 40.99,(3.55),In stock
3,Ninkasi Blanche,White Beer | 4.8% | 33 cl,£ 41.99,(3.42),In stock
4,Orval,Blond Beer | 6.2% | 33 cl,£ 40.99,(3.92),In stock
5,Rochefort 6',Dubbel Beer | 7.5% | 33 cl,£ 43.99,(3.82),In stock
6,Desperados,Lager | 5.9% | 33 cl,£ 32.99,(3.15),In stock
7,Oedipus Pilsner,Pilsner & Hoppy Lager | 5.0% | 33 cl,£ 36.99,(3.21),In stock
8,Beavertown Lupuloid,IPA | 6.7% | 33 cl,£ 41.99,No rating,In stock
9,St. Bernardus Pater 6,Dubbel Beer | 6.7% | 33 cl,£ 43.99,(3.64),In stock
10,Paulaner Weissbier,German Wheat Beer | 5.5% | 50 cl,£ 42.99,(3.71),In stock
11,Kapittel Watou Triple Abt 10,Tripel Beer | 10.0% | 33 cl,£ 42.99,(3.56),In stock
12,Brouwerij Noordt Noordtsingle,Lager | 4.5% | 33 cl,£ 36.99,(3.52),In stock
13,Zundert Trappist 10,Quadrupel Beer | 10.0% | 33 cl,£ 40.99,(3.79),In stock
14,Brouwerij de Brabandere Petrus Cherry Chocolate Nitro Quad,Quadrupel Beer | 8.5% | 33 cl,£ 42.99,(3.86),In stock
15,Lagunitas IPA,IPA | 6.2% | 36 cl,£ 66.96,(3.82),In stock
16,La Trappe Blond,Blond Beer | 6.5% | 33 cl,£ 36.99,(3.71),In stock
17,Hoppebräu Helles,Lager | 4.9% | 50 cl,£ 42.99,(3.34),In stock
18,Ninkasi French IPA,IPA | 5.4% | 33 cl,£ 41.99,(3.44),In stock
19,Pistonhead Amber,Amber & Red Ale | 6.0% | 33 cl,£ 36.99,No rating,In stock
20,Lagunitas Daytime,IPA | 4.0% | 36 cl,£ 40.99,(3.68),In stock
21,Jopen Jacobus RPA,Pale Ale | 5.5% | 33 cl,£ 36.99,(3.48),In stock
22,Oedipus Gaia IPA,IPA | 7.0% | 33 cl,£ 41.99,(3.69),In stock
23,Paljas Blond,Blond Beer | 6.0% | 33 cl,£ 42.99,(3.37),In stock
24,Rochefort 8',Quadrupel Beer | 9.2% | 33 cl,£ 40.99,(4.03),In stock
25,Dos Equis Lager Especial,Lager | 4.5% | 36 cl,£ 36.99,(3.09),In stock
26,St. Feuillien Grand Cru,Blond Beer | 9.5% | 33 cl,£ 43.99,(3.79),In stock
27,Vedett Extra Ordinary IPA,IPA | 5.5% | 33 cl,£ 41.99,(3.56),In stock
28,La Cristal IPA du Mont Blanc,IPA | 4.7% | 33 cl,£ 41.99,(3.44),In stock
29,Brouwerij 't IJ IJwit,White Beer | 6.5% | 33 cl,£ 56.99,(3.61),In stock
30,Vedett Extra White,White Beer | 4.7% | 33 cl,£ 42.99,(3.55),In stock
31,Lagunitas A Little Sumpin' Sumpin',IPA | 7.5% | 36 cl,£ 69.36,(3.87),In stock
32,Brasserie De Sutter Brin de Folie,Blond Beer | 6.5% | 33 cl,£ 42.99,(3.42),In stock
33,Bintang,Lager | 4.7% | 33 cl,£ 36.99,(2.00),In stock
34,vandeStreek Playground IPA Alcoholvrij,IPA | 0.5% | 33 cl,£ 51.99,No rating,In stock
35,De Molen Vuur & Vlam IPA,IPA | 6.2% | 33 cl,£ 36.99,(3.70),In stock
36,BrewDog Dead Pony Club Can,Pale Ale | 3.8% | 33 cl,£ 39.99,No rating,In stock
37,Mort Subite Kriek Lambic,Fruit Beer | 4.0% | 25 cl,£ 27.99,(3.45),In stock
38,Texels Tripel,Tripel Beer | 8.5% | 30 cl,£ 37.99,(3.53),In stock
39,Affligem Dubbel,Dubbel Beer | 6.8% | 30 cl,£ 34.99,(3.56),In stock
40,Oedipus Panty,Porter & Stout | 6.0% | 33 cl,£ 42.99,(3.47),In stock
41,Kwaremont Pittig Blond,Blond Beer | 6.6% | 33 cl,£ 43.99,(3.49),In stock
42,Pietra,Lager | 6.0% | 33 cl,£ 36.99,(3.17),In stock
43,Brand Weizen,German Wheat Beer | 5.1% | 30 cl,£ 32.99,(3.59),In stock
44,Gouden Carolus Tripel,Tripel Beer | 9.0% | 33 cl,£ 42.99,(3.89),In stock
45,Affligem Tripel,Tripel Beer | 9.0% | 30 cl,£ 42.99,(3.57),In stock
46,Oedipus Mannenliefde,Saison Beer | 6.0% | 33 cl,£ 36.99,(3.49),In stock
47,Red Stripe,Lager | 4.7% | 33 cl,£ 36.99,No rating,In stock
